id,timePeriod,geography,productType,sku,brand,unitsSold,totalRevenue,marketAvgPrice,totalMarketUnitsSold,promoType,price_t_minus_1,volume_t_minus_1,absolutePrice,priceIndex,marketShare,deltaPricePP,elasticityValue,absElasticity
"SL12C12-N-2301","2023-01","North","Regular","SL12C12","Sprite",4800,37920,8.05,140000,"None",7.85,4700,7.90,98.13664596273292,3.4285714285714284,0.6369426751592356,3.351063829787234,3.351063829787234
"SZS20B1-S-2301","2023-01","South","Zero Sugar","SZS20B1","Sprite",2900,5713,2.03,90000,"None",1.96,2800,1.97,97.04433497536946,3.2222222222222223,0.5102040816326531,7.000000000000001,7.000000000000001
"SL2LB1-N-2301","2023-01","North","Regular","SL2LB1","Sprite",3600,7848,2.22,100000,"None",2.15,3500,2.18,98.1981981981982,3.6,1.3953488372093024,2.0408163265306123,2.0408163265306123
"SCH12C12-S-2301","2023-01","South","Flavor Variant","SCH12C12","Sprite",1600,12960,8.20,70000,"None",8.05,1550,8.10,98.78048780487805,2.2857142857142856,0.6211180124223602,5.201612903225806,5.201612903225806
"STM20B1-N-2301","2023-01","North","Flavor Variant","STM20B1","Sprite",1350,2686.5,2.05,68000,"None",1.97,1300,1.99,97.07317073170731,1.9852941176470587,1.015228426395939,3.7884615384615383,3.7884615384615383
"CC12C12-S-2302","2023-02","South","Regular","CC12C12","Coca-Cola",5650,45087,8.15,152000,"None",7.98,5500,7.98,97.91411042944786,3.7171052631578947,0.00,"Infinity",10
"CZS20B1-N-2302","2023-02","North","Zero Sugar","CZS20B1","Coca-Cola",3150,6174,2.03,96000,"Price Cut 10%",1.97,3100,1.96,96.55172413793103,3.28125,-0.5076142131979695,-3.185185185185185,3.185185185185185
"CC2LB1-S-2302","2023-02","South","Regular","CC2LB1","Coca-Cola",4300,9373,2.27,112000,"None",2.19,4200,2.18,96.0352422907489,3.8392857142857144,-0.45662100456621,5.219999999999999,5.219999999999999
"CCH12C12-N-2302","2023-02","North","Flavor Variant","CCH12C12","Coca-Cola",2180,17832.4,8.30,82000,"None",8.19,2100,8.18,98.55421686746988,2.6585365853658535,-0.1221001221001221,-31.199999999999996,10
"CVN20B1-S-2302","2023-02","South","Flavor Variant","CVN20B1","Coca-Cola",1580,3144.2,2.06,76000,"None",1.99,1550,1.99,96.60194174757282,2.0789473684210527,0.00,"Infinity",10
"FO12C12-N-2302","2023-02","North","Flavor Variant","FO12C12","Fanta",3950,31126,8.05,125000,"Coupon $1 Off",7.90,3800,7.88,97.88819875776397,3.16,-0.2531645569620253,-15.599999999999998,10
"FG20B1-S-2302","2023-02","South","Flavor Variant","FG20B1","Fanta",2450,4777.5,2.02,88000,"None",1.97,2400,1.95,96.53465346534654,2.784090909090909,-1.015228426395939,-2.0555555555555554,2.0555555555555554
"FOZS2LB1-N-2302","2023-02","North","Zero Sugar","FOZS2LB1","Fanta",1950,4218.75,2.22,72000,"None",2.15,1900,2.1634615384615383,97.45322245254677,2.7083333333333335,0.6261216690519923,4.199999999999999,4.199999999999999
"FST12C12-S-2302","2023-02","South","Flavor Variant","FST12C12","Fanta",1750,14175,8.18,78000,"None",8.10,1700,8.10,99.02200488997555,2.2435897435897434,0.00,"Infinity",10
"FPI20B1-N-2302","2023-02","North","Flavor Variant","FPI20B1","Fanta",1250,2450,2.00,68000,"BOGO",1.97,1200,1.96,98.0,1.838235294117647, -0.5076142131979695,-8.235294117647058,8.235294117647058
"SL12C12-S-2302","2023-02","South","Regular","SL12C12","Sprite",4900,38710,8.10,142000,"None",7.90,4800,7.90,97.53086419753086,3.4507042253521125,0.00,"Infinity",10
"SZS20B1-N-2302","2023-02","North","Zero Sugar","SZS20B1","Sprite",3000,5880,2.01,92000,"None",1.97,2900,1.96,97.51243781094527,3.260869565217391, -0.5076142131979695,-6.800000000000001,6.800000000000001
"SL2LB1-S-2302","2023-02","South","Regular","SL2LB1","Sprite",3750,8137.5,2.24,105000,"Display",2.18,3600,2.17,96.875,3.5714285714285716,-0.45871559633027525,-9.166666666666666,9.166666666666666
"SCH12C12-N-2302","2023-02","North","Flavor Variant","SCH12C12","Sprite",1650,13447.5,8.22,73000,"None",8.10,1600,8.15,99.14841849148418,2.2602739726027396,0.617283950617284,-5.062499999999999,5.062499999999999
"STM20B1-S-2302","2023-02","South","Flavor Variant","STM20B1","Sprite",1400,2786,2.04,70000,"None",1.99,1350,1.99,97.54901960784314,2.0,0.00,"Infinity",10
"CC12C12-N-2303","2023-03","North","Regular","CC12C12","Coca-Cola",5800,46224,8.20,155000,"None",7.98,5650,7.97,97.1951219512195,3.7419354838709675,-0.12531328320802004,-21.000000000000004,10
"CZS20B1-S-2303","2023-03","South","Zero Sugar","CZS20B1","Coca-Cola",3250,6402.5,2.01,98000,"None",1.96,3150,1.97,98.00995024875622,3.3163265306122447,0.5102040816326531,6.200000000000001,6.200000000000001
"CC2LB1-N-2303","2023-03","North","Regular","CC2LB1","Coca-Cola",4450,9701.5,2.29,115000,"Multi-buy 2/$4",2.18,4300,2.18,95.19650655021834,3.869565217391304,-0.00,-10,10
"CCH12C12-S-2303","2023-03","South","Flavor Variant","CCH12C12","Coca-Cola",2250,18405,8.35,85000,"Display",8.18,2180,8.18,97.96407185628743,2.6470588235294117,0.00,"Infinity",10
"CVN20B1-N-2303","2023-03","North","Flavor Variant","CVN20B1","Coca-Cola",1620,3223.8,2.04,78000,"None",1.99,1580,1.99,97.54901960784314,2.076923076923077,0.00,"Infinity",10
"FO12C12-S-2303","2023-03","South","Flavor Variant","FO12C12","Fanta",4100,32227,8.10,130000,"None",7.88,3950,7.86,97.03703703703704,3.1538461538461537,-0.25380710659898475,-15.00,10
"FG20B1-N-2303","2023-03","North","Flavor Variant","FG20B1","Fanta",2550,4998,2.04,90000,"None",1.95,2450,1.96,96.07843137254902,2.8333333333333335,0.5128205128205128,8.00,8.00
"FOZS2LB1-S-2303","2023-03","South","Zero Sugar","FOZS2LB1","Fanta",2050,4407.5,2.25,75000,"None",2.1634615384615383,1950,2.15,95.55555555555556,2.7333333333333334,-0.6222222222222222,-8.250000000000002,8.250000000000002
"FST12C12-N-2303","2023-03","North","Flavor Variant","FST12C12","Fanta",1800,14580,8.20,80000,"None",8.10,1750,8.10,98.78048780487805,2.25,0.00,"Infinity",10
"FPI20B1-S-2303","2023-03","South","Flavor Variant","FPI20B1","Fanta",1300,2561,2.02,71000,"None",1.96,1250,1.97,97.52475247524752,1.8309859154929578,0.5102040816326531,7.839999999999999,7.839999999999999
"SL12C12-N-2303","2023-03","North","Regular","SL12C12","Sprite",5050,39895,8.15,145000,"None",7.90,4900,7.90,96.93251533742331,3.482758620689655,0.00,"Infinity",10
"SZS20B1-S-2303","2023-03","South","Zero Sugar","SZS20B1","Sprite",3100,6076,2.03,95000,"Coupon $1 Off",1.96,3000,1.96,96.55172413793103,3.263157894736842,0.00,"Infinity",10
"SL2LB1-N-2303","2023-03","North","Regular","SL2LB1","Sprite",3900,8463,2.26,110000,"None",2.17,3750,2.17,96.01769911504424,3.5454545454545454,0.00,"Infinity",10
"SCH12C12-S-2303","2023-03","South","Flavor Variant","SCH12C12","Sprite",1700,13770,8.25,76000,"None",8.15,1650,8.10,98.18181818181819,2.236842105263158, -0.6134969325153374,-4.935483870967741,4.935483870967741
"STM20B1-N-2303","2023-03","North","Flavor Variant","STM20B1","Sprite",1480,2930.2,2.06,72000,"None",1.99,1400,1.98,96.11650485436893,2.0555555555555554,-0.5025125628140703,-11.333333333333334,10
"CC12C12-S-2304","2023-04","South","Regular","CC12C12","Coca-Cola",6000,47940,8.25,160000,"None",7.97,5800,7.99,96.84848484848484,3.75,0.2509409033876983,13.73913043478261,10
"CZS20B1-N-2304","2023-04","North","Zero Sugar","CZS20B1","Coca-Cola",3300,6468,2.00,100000,"None",1.97,3250,1.96,98.0,3.3, -0.5076142131979695,-3.0307692307692307,3.0307692307692307
"CC2LB1-S-2304","2023-04","South","Regular","CC2LB1","Coca-Cola",4600,10028,2.30,118000,"None",2.18,4450,2.18,94.78260869565217,3.898305084745763,0.00,"Infinity",10
"CCH12C12-N-2304","2023-04","North","Flavor Variant","CCH12C12","Coca-Cola",2300,18768,8.40,88000,"None",8.18,2250,8.16,97.14285714285714,2.6136363636363638,-0.24449877750611248,-9.09090909090909,9.09090909090909
"CVN20B1-S-2304","2023-04","South","Flavor Variant","CVN20B1","Coca-Cola",1650,3283.5,2.03,80000,"Display",1.99,1620,1.99,98.02955665024631,2.0625,0.00,"Infinity",10
"FO12C12-N-2304","2023-04","North","Flavor Variant","FO12C12","Fanta",4250,33532.5,8.15,135000,"None",7.86,4100,7.89,96.80981595092024,3.148148148148148,0.3816793893129771,9.634146341463415,9.634146341463415
"FG20B1-S-2304","2023-04","South","Flavor Variant","FG20B1","Fanta",2600,5122,2.05,92000,"None",1.96,2550,1.97,96.09756097560975,2.826086956521739,0.5102040816326531,3.839999999999999,3.839999999999999
"FOZS2LB1-N-2304","2023-04","North","Zero Sugar","FOZS2LB1","Fanta",2100,4536,2.28,78000,"None",2.15,2050,2.16,94.73684210526316,2.6923076923076925,0.46511627906976744,5.24390243902439,5.24390243902439
"FST12C12-S-2304","2023-04","South","Flavor Variant","FST12C12","Fanta",1880,15228,8.25,83000,"None",8.10,1800,8.10,98.18181818181819,2.2650602409638553,0.00,"Infinity",10
"FPI20B1-N-2304","2023-04","North","Flavor Variant","FPI20B1","Fanta",1350,2659.5,2.04,74000,"None",1.97,1300,1.97,96.56862745098039,1.8243243243243244,0.00,"Infinity",10
"SL12C12-S-2304","2023-04","South","Regular","SL12C12","Sprite",5200,41080,8.20,150000,"Price Cut 10%",7.90,5050,7.90,96.34146341463415,3.466666666666667,0.00,"Infinity",10
"SZS20B1-N-2304","2023-04","North","Zero Sugar","SZS20B1","Sprite",3200,6240,2.01,98000,"None",1.96,3100,1.95,97.01492537313433,3.2653061224489797,-0.5102040816326531,-6.300000000000001,6.300000000000001
"SL2LB1-S-2304","2023-04","South","Regular","SL2LB1","Sprite",4050,8829,2.28,115000,"None",2.17,3900,2.18,95.6140350877193,3.5217391304347827,0.4608294930875576,8.333333333333334,8.333333333333334
"SCH12C12-N-2304","2023-04","North","Flavor Variant","SCH12C12","Sprite",1750,14262.5,8.30,79000,"None",8.10,1700,8.15,98.19277108433734,2.2151898734177216,0.617283950617284,-4.779411764705882,4.779411764705882
"STM20B1-S-2304","2023-04","South","Flavor Variant","STM20B1","Sprite",1550,3053.5,2.07,75000,"BOGO",1.98,1480,1.97,95.16908212560387,2.066666666666667,-0.5050505050505051,-9.324324324324325,9.324324324324325
"CC12C12-N-2305","2023-05","North","Regular","CC12C12","Coca-Cola",6300,50337,8.30,165000,"None",7.99,6000,7.99,96.26506024096386,3.8181818181818183,0.00,"Infinity",10
"CZS20B1-S-2305","2023-05","South","Zero Sugar","CZS20B1","Coca-Cola",3500,6860,1.99,102000,"None",1.96,3300,1.96,98.49246231155779,3.431372549019608,0.00,"Infinity",10
"CC2LB1-N-2305","2023-05","North","Regular","CC2LB1","Coca-Cola",4800,10464,2.32,120000,"None",2.18,4600,2.18,93.9655172413793,4.0,0.00,"Infinity",10
"CCH12C12-S-2305","2023-05","South","Flavor Variant","CCH12C12","Coca-Cola",2400,19632,8.45,90000,"None",8.16,2300,8.18,96.79289940828402,2.6666666666666665,0.24509803921568626,17.739130434782608,10
"CVN20B1-N-2305","2023-05","North","Flavor Variant","CVN20B1","Coca-Cola",1700,3383,2.05,82000,"None",1.99,1650,1.99,97.07317073170731,2.073170731707317,0.00,"Infinity",10
"FO12C12-S-2305","2023-05","South","Flavor Variant","FO12C12","Fanta",4450,35110.5,8.20,140000,"None",7.89,4250,7.89,96.21951219512195,3.1785714285714284,0.00,"Infinity",10
"FG20B1-N-2305","2023-05","North","Flavor Variant","FG20B1","Fanta",2750,5362.5,2.06,95000,"None",1.97,2600,1.95,94.66019417475728,2.894736842105263, -1.015228426395939,-5.673076923076923,5.673076923076923
"FOZS2LB1-S-2305","2023-05","South","Zero Sugar","FOZS2LB1","Fanta",2250,4837.5,2.30,80000,"Coupon $1 Off",2.16,2100,2.15,93.47826086956522,2.8125,-0.4629629629629629, -15.428571428571429,10
"FST12C12-N-2305","2023-05","North","Flavor Variant","FST12C12","Fanta",1950,15892.5,8.30,85000,"None",8.10,1880,8.15,98.19277108433734,2.2941176470588234,0.617283950617284,-5.999999999999999,5.999999999999999
"FPI20B1-S-2305","2023-05","South","Flavor Variant","FPI20B1","Fanta",1400,2758,2.06,76000,"None",1.97,1350,1.97,95.63106796116505,1.8421052631578947,0.00,"Infinity",10
"SL12C12-N-2305","2023-05","North","Regular","SL12C12","Sprite",5500,43450,8.25,155000,"None",7.90,5200,7.90,95.75757575757575,3.5483870967741935,0.00,"Infinity",10
"SZS20B1-S-2305","2023-05","South","Zero Sugar","SZS20B1","Sprite",3350,6532.5,1.99,100000,"None",1.95,3200,1.95,97.98994974874372,3.35,0.00,"Infinity",10
"SL2LB1-N-2305","2023-05","North","Regular","SL2LB1","Sprite",4250,9222.5,2.30,120000,"None",2.18,4050,2.17,94.34782608695652,3.5416666666666665,-0.45871559633027525,-10.74074074074074,10
"SCH12C12-S-2305","2023-05","South","Flavor Variant","SCH12C12","Sprite",1850,15082.5,8.35,82000,"Display",8.15,1750,8.15,97.60479041916168,2.25609756097561,0.00,"Infinity",10
"STM20B1-N-2305","2023-05","North","Flavor Variant","STM20B1","Sprite",1600,3152,2.09,78000,"None",1.97,1550,1.97,94.25837320574163,2.051282051282051,0.00,"Infinity",10
"CC12C12-S-2306","2023-06","South","Regular","CC12C12","Coca-Cola",6800,54332,8.35,175000,"None",7.99,6300,7.99,95.68862275449101,3.8857142857142857,0.00,"Infinity",10
"CZS20B1-N-2306","2023-06","North","Zero Sugar","CZS20B1","Coca-Cola",3700,7215,1.98,105000,"None",1.96,3500,1.95,98.48484848484848,3.523809523809524,-0.5102040816326531,-11.142857142857142,10
"CC2LB1-S-2306","2023-06","South","Regular","CC2LB1","Coca-Cola",5100,11118,2.34,125000,"Display",2.18,4800,2.18,93.16239316239316,4.08,0.00,"Infinity",10
"CCH12C12-N-2306","2023-06","North","Flavor Variant","CCH12C12","Coca-Cola",2550,20859,8.50,95000,"None",8.18,2400,8.18,96.23529411764706,2.6842105263157894,0.00,"Infinity",10
"CVN20B1-S-2306","2023-06","South","Flavor Variant","CVN20B1","Coca-Cola",1800,3582,2.07,85000,"None",1.99,1700,1.99,96.13526570048309,2.1176470588235294,0.00,"Infinity",10
"FO12C12-N-2306","2023-06","North","Flavor Variant","FO12C12","Fanta",4700,37083,8.25,145000,"None",7.89,4450,7.89,95.63636363636364,3.2413793103448274,0.00,"Infinity",10
"FG20B1-S-2306","2023-06","South","Flavor Variant","FG20B1","Fanta",2900,5684,2.08,98000,"None",1.95,2750,1.96,94.23076923076923,2.9591836734693877,0.5128205128205128,10.727272727272727,10
"FOZS2LB1-N-2306","2023-06","North","Zero Sugar","FOZS2LB1","Fanta",2400,5136,2.32,83000,"None",2.15,2250,2.14,92.24137931034483,2.891566265060241,-0.4651162790697674, -14.285714285714286,10
"FST12C12-S-2306","2023-06","South","Flavor Variant","FST12C12","Fanta",2050,16707.5,8.35,88000,"BOGO",8.15,1950,8.15,97.60479041916168,2.3295454545454546,0.00,"Infinity",10
"FPI20B1-N-2306","2023-06","North","Flavor Variant","FPI20B1","Fanta",1500,2955,2.08,79000,"None",1.97,1400,1.97,94.71153846153847,1.89873417721519,0.00,"Infinity",10
"SL12C12-S-2306","2023-06","South","Regular","SL12C12","Sprite",5900,46610,8.30,160000,"None",7.90,5500,7.90,95.18072289156626,3.6875,0.00,"Infinity",10
"SZS20B1-N-2306","2023-06","North","Zero Sugar","SZS20B1","Sprite",3550,6922.5,2.00,103000,"None",1.95,3350,1.95,97.5,3.446601941747573,0.00,"Infinity",10
"SL2LB1-S-2306","2023-06","South","Regular","SL2LB1","Sprite",4500,9765,2.32,125000,"None",2.17,4250,2.17,93.53448275862069,3.6,0.00,"Infinity",10
"SCH12C12-N-2306","2023-06","North","Flavor Variant","SCH12C12","Sprite",1950,15892.5,8.40,85000,"None",8.15,1850,8.15,97.02380952380952,2.2941176470588234,0.00,"Infinity",10
"STM20B1-S-2306","2023-06","South","Flavor Variant","STM20B1","Sprite",1700,3349,2.10,82000,"None",1.97,1600,1.97,93.80952380952381,2.073170731707317,0.00,"Infinity",10
"CC12C12-N-2307","2023-07","North","Regular","CC12C12","Coca-Cola",7200,57528,8.40,180000,"None",7.99,6800,7.99,95.11904761904762,4.0,0.00,"Infinity",10
"CZS20B1-S-2307","2023-07","South","Zero Sugar","CZS20B1","Coca-Cola",3900,7644,2.00,110000,"None",1.95,3700,1.96,98.0,3.5454545454545454,0.5128205128205128,10.54054054054054,10
"CC2LB1-N-2307","2023-07","North","Regular","CC2LB1","Coca-Cola",5400,11718,2.36,130000,"None",2.18,5100,2.17,91.94915254237288,4.153846153846154,-0.45871559633027525,-12.823529411764707,10
"CCH12C12-S-2307","2023-07","South","Flavor Variant","CCH12C12","Coca-Cola",2700,22086,8.55,98000,"None",8.18,2550,8.18,95.67251461988304,2.7551020408163267,0.00,"Infinity",10
"CVN20B1-N-2307","2023-07","North","Flavor Variant","CVN20B1","Coca-Cola",1900,3781,2.09,88000,"Price Cut 10%",1.99,1800,1.99,95.21531100478469,2.159090909090909,0.00,"Infinity",10
"FO12C12-S-2307","2023-07","South","Flavor Variant","FO12C12","Fanta",5000,39450,8.30,150000,"Display",7.89,4700,7.89,95.06024096385542,3.3333333333333335,0.00,"Infinity",10
"FG20B1-N-2307","2023-07","North","Flavor Variant","FG20B1","Fanta",3100,6045,2.10,100000,"None",1.96,2900,1.95,92.85714285714286,3.1,-0.5102040816326531,-13.517241379310345,10
"FOZS2LB1-S-2307","2023-07","South","Zero Sugar","FOZS2LB1","Fanta",2550,5457,2.34,85000,"None",2.14,2400,2.14,91.45299145299145,3.0,0.00,"Infinity",10
"FST12C12-N-2307","2023-07","North","Flavor Variant","FST12C12","Fanta",2150,17522.5,8.40,90000,"None",8.15,2050,8.15,97.02380952380952,2.388888888888889,0.00,"Infinity",10
"FPI20B1-S-2307","2023-07","South","Flavor Variant","FPI20B1","Fanta",1600,3152,2.10,82000,"None",1.97,1500,1.97,93.80952380952381,1.951219512195122,0.00,"Infinity",10
"SL12C12-N-2307","2023-07","North","Regular","SL12C12","Sprite",6300,49770,8.35,165000,"Coupon $1 Off",7.90,5900,7.90,94.61077844311377,3.8181818181818183,0.00,"Infinity",10
"SZS20B1-S-2307","2023-07","South","Zero Sugar","SZS20B1","Sprite",3750,7350,2.02,105000,"None",1.95,3550,1.96,97.02970297029703,3.5714285714285716,0.5128205128205128,10.985915492957746,10
"SL2LB1-N-2307","2023-07","North","Regular","SL2LB1","Sprite",4800,10416,2.34,130000,"None",2.17,4500,2.17,92.73504273504274,3.6923076923076925,0.00,"Infinity",10
"SCH12C12-S-2307","2023-07","South","Flavor Variant","SCH12C12","Sprite",2050,16707.5,8.45,88000,"None",8.15,1950,8.15,96.44970414201184,2.3295454545454546,0.00,"Infinity",10
"STM20B1-N-2307","2023-07","North","Flavor Variant","STM20B1","Sprite",1800,3546,2.12,85000,"None",1.97,1700,1.97,92.9245283018868,2.1176470588235294,0.00,"Infinity",10
"CC12C12-S-2308","2023-08","South","Regular","CC12C12","Coca-Cola",7000,55930,8.45,182000,"None",7.99,7200,7.99,94.55621301775148,3.8461538461538463,0.00,"Infinity",10
"CZS20B1-N-2308","2023-08","North","Zero Sugar","CZS20B1","Coca-Cola",4000,7840,2.02,112000,"BOGO",1.96,3900,1.96,97.02970297029703,3.5714285714285716,0.00,"Infinity",10
"CC2LB1-S-2308","2023-08","South","Regular","CC2LB1","Coca-Cola",5500,11935,2.38,132000,"None",2.17,5400,2.17,91.17647058823529,4.166666666666667,0.00,"Infinity",10
"CCH12C12-N-2308","2023-08","North","Flavor Variant","CCH12C12","Coca-Cola",2800,22904,8.60,100000,"None",8.18,2700,8.18,95.11627906976744,2.8,0.00,"Infinity",10
"CVN20B1-S-2308","2023-08","South","Flavor Variant","CVN20B1","Coca-Cola",1950,3880.5,2.11,90000,"None",1.99,1900,1.99,94.3127962085308,2.1666666666666665,0.00,"Infinity",10
"FO12C12-N-2308","2023-08","North","Flavor Variant","FO12C12","Fanta",5100,40239,8.35,152000,"None",7.89,5000,7.89,94.49101796407185,3.3552631578947367,0.00,"Infinity",10
"FG20B1-S-2308","2023-08","South","Flavor Variant","FG20B1","Fanta",3150,6174,2.12,102000,"None",1.95,3100,1.96,92.45283018867924,3.088235294117647,0.5128205128205128,3.1451612903225805,3.1451612903225805
"FOZS2LB1-N-2308","2023-08","North","Zero Sugar","FOZS2LB1","Fanta",2600,5564,2.36,87000,"None",2.14,2550,2.14,90.67796610169492,2.988505747126437,0.00,"Infinity",10
"FST12C12-S-2308","2023-08","South","Flavor Variant","FST12C12","Fanta",2200,17930,8.45,92000,"None",8.15,2150,8.15,96.44970414201184,2.391304347826087,0.00,"Infinity",10
"FPI20B1-N-2308","2023-08","North","Flavor Variant","FPI20B1","Fanta",1650,3250.5,2.12,84000,"None",1.97,1600,1.97,92.9245283018868,1.9642857142857142,0.00,"Infinity",10
"SL12C12-S-2308","2023-08","South","Regular","SL12C12","Sprite",6400,50560,8.40,168000,"None",7.90,6300,7.90,94.04761904761905,3.8095238095238093,0.00,"Infinity",10
"SZS20B1-N-2308","2023-08","North","Zero Sugar","SZS20B1","Sprite",3800,7486,2.04,107000,"None",1.96,3750,1.97,96.56862745098039,3.5514018691588784,0.5102040816326531,2.6133333333333333,2.6133333333333333
"SL2LB1-S-2308","2023-08","South","Regular","SL2LB1","Sprite",4900,10633,2.36,132000,"Multi-buy 2/$4",2.17,4800,2.17,91.94915254237288,3.712121212121212,0.00,"Infinity",10
"SCH12C12-N-2308","2023-08","North","Flavor Variant","SCH12C12","Sprite",2100,17115,8.50,90000,"None",8.15,2050,8.15,95.88235294117648,2.3333333333333335,0.00,"Infinity",10
"STM20B1-S-2308","2023-08","South","Flavor Variant","STM20B1","Sprite",1850,3644.5,2.14,87000,"None",1.97,1800,1.97,92.05607476635514,2.1264367816091953,0.00,"Infinity",10
"CC12C12-N-2309","2023-09","North","Regular","CC12C12","Coca-Cola",6500,51935,8.40,170000,"None",7.99,7000,7.99,95.11904761904762,3.823529411764706,-0.00,-10,10
"CZS20B1-S-2309","2023-09","South","Zero Sugar","CZS20B1","Coca-Cola",3800,7486,2.01,108000,"None",1.96,4000,1.97,98.00995024875622,3.5185185185185186,0.5102040816326531,-9.799999999999999,9.799999999999999
"CC2LB1-N-2309","2023-09","North","Regular","CC2LB1","Coca-Cola",5200,11284,2.35,128000,"None",2.17,5500,2.17,92.34042553191489,4.0625,0.00,"Infinity",10
"CCH12C12-S-2309","2023-09","South","Flavor Variant","CCH12C12","Coca-Cola",2650,21677,8.55,95000,"None",8.18,2800,8.18,95.67251461988304,2.789473684210526,0.00,"Infinity",10
"CVN20B1-N-2309","2023-09","North","Flavor Variant","CVN20B1","Coca-Cola",1850,3681.5,2.10,86000,"None",1.99,1950,1.99,94.76190476190476,2.1511627906976745,0.00,"Infinity",10
"FO12C12-S-2309","2023-09","South","Flavor Variant","FO12C12","Fanta",4800,37872,8.30,145000,"Price Cut 10%",7.89,5100,7.89,95.06024096385542,3.310344827586207,0.00,"Infinity",10
"FG20B1-N-2309","2023-09","North","Flavor Variant","FG20B1","Fanta",3000,5850,2.10,98000,"None",1.96,3150,1.95,92.85714285714286,3.061224489795918,-0.5102040816326531,9.333333333333334,9.333333333333334
"FOZS2LB1-S-2309","2023-09","South","Zero Sugar","FOZS2LB1","Fanta",2500,5325,2.34,84000,"None",2.14,2600,2.13,91.02564102564102,2.9761904761904763,-0.4672897196261682,-8.23076923076923,8.23076923076923
"FST12C12-N-2309","2023-09","North","Flavor Variant","FST12C12","Fanta",2100,17115,8.40,88000,"None",8.15,2200,8.15,97.02380952380952,2.3863636363636362,0.00,"Infinity",10
"FPI20B1-S-2309","2023-09","South","Flavor Variant","FPI20B1","Fanta",1550,3053.5,2.10,80000,"Display",1.97,1650,1.97,93.80952380952381,1.9375,0.00,"Infinity",10
"SL12C12-N-2309","2023-09","North","Regular","SL12C12","Sprite",6000,47340,8.35,160000,"None",7.90,6400,7.89,94.49101796407185,3.75,-0.12658227848101267,49.6,10
"SZS20B1-S-2309","2023-09","South","Zero Sugar","SZS20B1","Sprite",3650,7117.5,2.03,104000,"None",1.97,3800,1.95,96.0591133004926,3.5096153846153846,-1.015228426395939,3.881578947368421,3.881578947368421
"SL2LB1-N-2309","2023-09","North","Regular","SL2LB1","Sprite",4700,10199,2.33,128000,"None",2.17,4900,2.17,93.13304721030043,3.671875,0.00,"Infinity",10
"SCH12C12-S-2309","2023-09","South","Flavor Variant","SCH12C12","Sprite",2000,16300,8.45,85000,"None",8.15,2100,8.15,96.44970414201184,2.3529411764705883,0.00,"Infinity",10
"STM20B1-N-2309","2023-09","North","Flavor Variant","STM20B1","Sprite",1750,3447.5,2.12,82000,"None",1.97,1850,1.97,92.9245283018868,2.1341463414634145,0.00,"Infinity",10
"CC12C12-S-2310","2023-10","South","Regular","CC12C12","Coca-Cola",6200,49538,8.30,165000,"None",7.99,6500,7.99,96.26506024096386,3.7575757575757576,0.00,"Infinity",10
